#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
15026#27425##unemployed#married#secondary#no#6438,0#yes#no#cellular#21#nov#7.0#-1,0#0#unknown#no
15027#22784#46,0#management#married#tertiary#no#-3,0#no#no#cellular#25#aug#4.0#-1,0#0#unknown#no
15028#37998#34,0#blue-collar#married#secondary#no#259,0#yes#no#cellular#14#may#2.0#-1,0#0#unknown#no
15029#22285#31,0#technician#single#secondary#no#4,0#no#no#cellular#21#aug#3.0#-1,0#0#unknown#no
15030#43239#83,0#retired#married#tertiary#no#4761,0#no#no#telephone#8#mar#1.0#-1,0#0#unknown#yes
15031#7466#43,0#technician#married#secondary#no#-235,0#yes#yes#unknown#29#may#2.0#-1,0#0#unknown#no
15032#16566#51,0#entrepreneur#married#unknown#no#29,0#yes#no#cellular#24#jul#1.0#-1,0#0#unknown#no
15033#11724#47,0#technician#divorced#tertiary#no#194,0#no#no#unknown#20#jun#2.0#-1,0#0#unknown#no
15034#19028#48,0#services#married#secondary#no#202,0#yes#no#cellular#5#aug#1.0#-1,0#0#unknown#no
15035#8229#30,0#services#single#secondary#no#603,0#yes#yes#unknown#2#jun#2.0#-1,0#0#unknown#no
15036#25636#54,0#blue-collar#married#primary#no#6191,0#no#no#cellular#19#nov#2.0#-1,0#0#unknown#no
15037#36363#45,0#services#married#secondary#no#462,0#yes#no#cellular#11#may#2.0#-1,0#0#unknown#no
15038#22175#57,0#technician#single#secondary#no#104,0#no#no#cellular#21#aug#2.0#-1,0#0#unknown#no
15039#35053#26,0#admin.#single#secondary#no#985,0#yes#no#cellular#6#may#2.0#-1,0#0#unknown#no
15040#978##management#single#tertiary#no#54,0#no#no#unknown#7#may#2.0#-1,0#0#unknown#no
15041#43428#27,0#technician#single#tertiary#no#-67,0#yes#no#cellular#6#apr#3.0#236,0#2#failure#yes
15042#26913#31,0#management#single#tertiary#no#5691,0#yes#no#cellular#21#nov#2.0#123,0#1#failure#no
15043#37737##management#married#secondary#no#125,0#yes#yes#cellular#14#may#5.0#-1,0#0#unknown#no
15044#15828#41,0#entrepreneur#married#secondary#no#187,0#no#yes#cellular#21#jul#1.0#-1,0#0#unknown#no
15045#14587##management#single#tertiary#no#752,0#yes#no#cellular#15#jul#5.0#-1,0#0#unknown#no
15046#43951#32,0#technician#single#tertiary#no#705,0#no#no#cellular#17#jun#1.0#-1,0#0#unknown#yes
15047#25310##technician#single#secondary#no#1411,0#yes#yes#cellular#18#nov#3.0#-1,0#0#unknown#no
15048#30010#31,0#technician#single#tertiary#no#1320,0#no#no#cellular#4#feb#1.0#-1,0#0#unknown#no
15049#17717#48,0#services#married#secondary#no#3726,0#yes#no#cellular#29#jul#2.0#-1,0#0#unknown#no
15050#5685#46,0#admin.#divorced#secondary#no#-454,0#yes#no#unknown#26#may#1.0#-1,0#0#unknown#no
15051#30886#41,0#entrepreneur#married#tertiary#no#367,0#no#yes#cellular#9#feb#5.0#-1,0#0#unknown#no
15052#29316#53,0#technician#married#secondary#no#598,0#no#no#cellular#2#feb#3.0#264,0#2#failure#no
15053#7143##retired#single#secondary#no#44,0#no#no#unknown#29#may#1.0#-1,0#0#unknown#no
15054#18252#43,0#admin.#married#secondary#no#0,0#no#no#cellular#31#jul#8.0#-1,0#0#unknown#no
15055#10476##services#married#primary#no#7811,0#no#no#unknown#16#jun#2.0#-1,0#0#unknown#no
15056#43378#42,0#technician#married#secondary#no#2152,0#no#no#cellular#30#mar#2.0#181,0#2#failure#no
15057#8866#29,0#services#married#tertiary#no#0,0#yes#no#unknown#4#jun#2.0#-1,0#0#unknown#no
15058#39503#39,0#management#married#tertiary#no#246,0#yes#no#cellular#25#may#1.0#306,0#8#failure#no
15059#8792#23,0#services#single#secondary#no#966,0#yes#no#unknown#4#jun#2.0#-1,0#0#unknown#no
15060#21146#47,0#services#married#secondary#no#-150,0#no#no#cellular#14#aug#4.0#-1,0#0#unknown#no
15061#16938#27,0#student#single#tertiary#no#1,0#no#no#cellular#25#jul#1.0#-1,0#0#unknown#no
15062#13903#53,0#retired#married#primary#no#61,0#no#yes#cellular#10#jul#1.0#-1,0#0#unknown#no
15063#872##admin.#single#secondary#no#299,0#yes#no#unknown#7#may#2.0#-1,0#0#unknown#no
15064#5552#32,0#technician#married#tertiary#no#415,0#no#no#unknown#23#may#2.0#-1,0#0#unknown#no
15065#11201#37,0#technician#married#secondary#no#603,0#no#no#unknown#18#jun#2.0#-1,0#0#unknown#no
15066#18702##blue-collar#single#primary#no#554,0#no#no#telephone#31#jul#5.0#-1,0#0#unknown#no
15067#34824#24,0#admin.#married#secondary#no#299,0#yes#no#cellular#6#may#1.0#321,0#1#failure#no
15068#4333#37,0#management#married#tertiary#no#89,0#yes#no#unknown#19#may#10.0#-1,0#0#unknown#no
15069#27654#43,0#entrepreneur#married#primary#no#346,0#yes#no#cellular#21#nov#5.0#-1,0#0#unknown#no
15070#37389##blue-collar#married#tertiary#no#267,0#yes#no#cellular#13#may#3.0#-1,0#0#unknown#no
15071#24161#34,0#admin.#married#tertiary#no#899,0#yes#no#unknown#12#nov#1.0#170,0#3#failure#yes
15072#26725#33,0#technician#married#tertiary#no#145,0#yes#no#cellular#20#nov#3.0#-1,0#0#unknown#no
15073#18115#60,0#housemaid#married#unknown#no#15681,0#no#no#cellular#30#jul#3.0#-1,0#0#unknown#no
15074#37338#59,0#admin.#married#secondary#no#506,0#yes#no#cellular#13#may#1.0#-1,0#0#unknown#no
15075#16559##admin.#single#secondary#no#768,0#yes#no#cellular#24#jul#5.0#-1,0#0#unknown#no
15076#38973##technician#single#tertiary#no#2164,0#yes#no#cellular#18#may#11.0#-1,0#0#unknown#no
15077#41333#34,0#blue-collar#married#secondary#no#1464,0#yes#no#cellular#28#aug#3.0#130,0#5#other#yes
15078#23496#53,0#services#married#secondary#yes#2262,0#no#no#cellular#28#aug#8.0#-1,0#0#unknown#no
15079#4595#38,0#self-employed#married#secondary#no#290,0#yes#no#unknown#20#may#1.0#-1,0#0#unknown#no
15080#16436#43,0#admin.#married#secondary#no#315,0#no#no#cellular#23#jul#2.0#-1,0#0#unknown#no
15081#37513#32,0#technician#single#tertiary#no#0,0#yes#yes#cellular#13#may#2.0#-1,0#0#unknown#yes
15082#10871#59,0#technician#married#secondary#no#4322,0#no#no#unknown#17#jun#1.0#-1,0#0#unknown#no
15083#2069#35,0#blue-collar#married#secondary#no#325,0#no#no#unknown#12#may#2.0#-1,0#0#unknown#no
15084#6143#33,0#technician#single#secondary#no#810,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
15085#12461#40,0#housemaid#married#primary#no#84,0#no#yes#unknown#1#jul#2.0#-1,0#0#unknown#no
15086#14194#31,0#technician#single#tertiary#no#696,0#no#yes#cellular#11#jul#2.0#-1,0#0#unknown#no
15087#27123#46,0#services#married#secondary#no#2948,0#no#no#cellular#21#nov#1.0#-1,0#0#unknown#yes
15088#28006#52,0#technician#married#secondary#no#1033,0#no#no#cellular#28#jan#3.0#-1,0#0#unknown#no
15089#44015#31,0#student#single#tertiary#no#4951,0#no#no#cellular#28#jun#3.0#-1,0#0#unknown#no
15090#10512#37,0#blue-collar#single#secondary#no#1120,0#no#no#unknown#16#jun#3.0#-1,0#0#unknown#no
15091#37204#50,0#management#married#secondary#no#42,0#yes#no#cellular#13#may#2.0#265,0#4#other#no
15092#10808#35,0#blue-collar#married#secondary#no#402,0#no#yes#unknown#17#jun#1.0#-1,0#0#unknown#no
15093#22029#42,0#housemaid#married#primary#no#2328,0#no#no#cellular#20#aug#2.0#-1,0#0#unknown#no
15094#18699##technician#single#secondary#no#2,0#yes#yes#telephone#31#jul#29.0#-1,0#0#unknown#no
15095#27112#40,0#entrepreneur#married#tertiary#no#865,0#no#no#cellular#21#nov#2.0#-1,0#0#unknown#no
15096#41422#46,0#management#married#tertiary#no#1950,0#no#no#cellular#4#sep#2.0#-1,0#0#unknown#no
15097#9341#39,0#self-employed#married#tertiary#no#1047,0#no#no#unknown#6#jun#1.0#-1,0#0#unknown#yes
15098#30496#46,0#technician#married#tertiary#no#157,0#no#no#cellular#5#feb#2.0#224,0#1#failure#no
15099#23499#57,0#blue-collar#married#unknown#no#3196,0#no#no#cellular#28#aug#4.0#-1,0#0#unknown#no
15100#29175#36,0#admin.#married#secondary#no#0,0#yes#no#cellular#2#feb#2.0#252,0#1#other#no
15101#28543#48,0#management#divorced#tertiary#no#657,0#no#yes#cellular#29#jan#2.0#-1,0#0#unknown#no
15102#31377#24,0#admin.#single#secondary#no#493,0#no#no#cellular#23#mar#2.0#-1,0#0#unknown#no
15103#8968#59,0#housemaid#married#primary#no#0,0#no#no#unknown#5#jun#1.0#-1,0#0#unknown#no
15104#31454#30,0#admin.#single#tertiary#no#311,0#no#no#cellular#31#mar#2.0#-1,0#0#unknown#yes
15105#44554#48,0#technician#single#secondary#no#434,0#no#no#cellular#13#aug#1.0#-1,0#0#unknown#no
15106#20879##technician#single#secondary#no#16,0#no#no#cellular#13#aug#1.0#-1,0#0#unknown#yes
15107#21993##management#single#secondary#no#-18,0#yes#no#cellular#20#aug#4.0#-1,0#0#unknown#no
15108#15657#27,0#admin.#single#secondary#no#15,0#no#yes#cellular#21#jul#1.0#-1,0#0#unknown#no
15109#42127#48,0#management#married#secondary#no#0,0#yes#yes#cellular#3#nov#1.0#351,0#2#failure#yes
15110#18090#34,0#management#single#secondary#no#356,0#yes#no#cellular#30#jul#7.0#-1,0#0#unknown#no
15111#125#52,0#technician#married#tertiary#no#7,0#no#yes#unknown#5#may#1.0#-1,0#0#unknown#no
15112#25309#45,0#services#married#secondary#no#1550,0#yes#no#cellular#18#nov#2.0#166,0#6#failure#no
15113#711##admin.#married#secondary#no#0,0#yes#yes#unknown#6#may#2.0#-1,0#0#unknown#no
15114#39281#34,0#blue-collar#single#primary#no#18,0#no#no#cellular#18#may#4.0#360,0#3#other#no
15115#33339#51,0#housemaid#married#tertiary#no#6700,0#yes#yes#cellular#20#apr#4.0#-1,0#0#unknown#no
15116#4442#36,0#management#married#tertiary#no#860,0#yes#no#unknown#20#may#15.0#-1,0#0#unknown#no
15117#6899#29,0#admin.#married#secondary#no#445,0#yes#no#unknown#28#may#2.0#-1,0#0#unknown#no
15118#26435#46,0#technician#married#tertiary#no#0,0#no#no#cellular#20#nov#1.0#167,0#1#failure#yes
15119#2901#40,0#admin.#married#secondary#no#1010,0#yes#no#unknown#14#may#1.0#-1,0#0#unknown#no
15120#28134#40,0#technician#married#secondary#no#232,0#no#no#cellular#29#jan#1.0#-1,0#0#unknown#no
15121#19211#58,0#services#married#secondary#no#688,0#no#no#cellular#6#aug#2.0#-1,0#0#unknown#no
15122#40812#31,0#management#married#tertiary#no#199,0#yes#yes#cellular#11#aug#2.0#461,0#4#success#no
15123#25815#42,0#management#married#tertiary#no#783,0#yes#no#cellular#19#nov#2.0#128,0#3#failure#no
15124#120#57,0#technician#married#primary#no#0,0#no#no#unknown#5#may#1.0#-1,0#0#unknown#no
15125#19030#37,0#technician#single#secondary#no#181,0#no#no#cellular#5#aug#1.0#-1,0#0#unknown#no
15126#27791#32,0#blue-collar#single#secondary#no#3662,0#no#no#telephone#28#jan#1.0#-1,0#0#unknown#no
15127#33679#38,0#technician#married#tertiary#no#472,0#yes#no#cellular#20#apr#5.0#326,0#3#failure#no
15128#2102#31,0#blue-collar#single#secondary#no#2597,0#yes#no#unknown#12#may#1.0#-1,0#0#unknown#no
15129#14030#28,0#blue-collar#single#secondary#no#455,0#yes#no#cellular#11#jul#1.0#-1,0#0#unknown#no
15130#31300#28,0#technician#single#tertiary#no#3623,0#no#no#cellular#10#mar#1.0#-1,0#0#unknown#yes
15131#1153#35,0#management#divorced#tertiary#no#788,0#yes#no#unknown#7#may#3.0#-1,0#0#unknown#no
15132#13935#34,0#management#married#secondary#no#5127,0#no#yes#cellular#10#jul#2.0#-1,0#0#unknown#no
15133#12008#31,0#services#married#secondary#no#356,0#yes#no#unknown#20#jun#5.0#-1,0#0#unknown#no
15134#6169#31,0#admin.#single#secondary#no#4388,0#yes#no#unknown#27#may#2.0#-1,0#0#unknown#no
15135#42383##technician#married#tertiary#no#2506,0#no#no#cellular#30#nov#3.0#-1,0#0#unknown#no
15136#1494#38,0#blue-collar#married#primary#no#362,0#yes#no#unknown#8#may#5.0#-1,0#0#unknown#no
15137#27516#46,0#technician#married#secondary#no#1167,0#yes#no#cellular#21#nov#2.0#-1,0#0#unknown#yes
15138#24886#37,0#blue-collar#married#primary#no#0,0#no#no#cellular#18#nov#2.0#-1,0#0#unknown#no
15139#42724##management#married#tertiary#no#203,0#no#no#cellular#25#jan#1.0#88,0#1#success#yes
15140#10843#57,0#housemaid#married#primary#no#1870,0#no#no#unknown#17#jun#1.0#-1,0#0#unknown#no
15141#296#56,0#technician#divorced#primary#no#13,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
15142#13100##admin.#single#secondary#no#0,0#no#yes#cellular#8#jul#3.0#-1,0#0#unknown#no
15143#20315#47,0#services#married#primary#no#206,0#no#no#cellular#11#aug#3.0#-1,0#0#unknown#no
15144#16527#39,0#admin.#divorced#tertiary#no#1087,0#no#yes#cellular#23#jul#2.0#-1,0#0#unknown#no
15145#2118#56,0#blue-collar#divorced#secondary#no#75,0#yes#no#unknown#12#may#2.0#-1,0#0#unknown#no
15146#11620#41,0#blue-collar#married#primary#no#246,0#no#no#unknown#19#jun#3.0#-1,0#0#unknown#yes
15147#22052#31,0#technician#married#secondary#no#-305,0#no#yes#cellular#20#aug#3.0#-1,0#0#unknown#no
15148#38498#40,0#admin.#married#secondary#no#2574,0#yes#no#cellular#15#may#1.0#176,0#1#failure#yes
15149#1210#47,0#blue-collar#married#primary#no#1865,0#yes#no#unknown#8#may#3.0#-1,0#0#unknown#no
15150#44078#28,0#services#single#secondary#no#198,0#no#no#cellular#5#jul#2.0#-1,0#0#unknown#yes
15151#42140#40,0#blue-collar#married#secondary#no#1508,0#no#no#cellular#3#nov#2.0#85,0#3#failure#no
15152#36915#55,0#housemaid#married#secondary#no#167,0#yes#no#cellular#12#may#3.0#357,0#7#failure#no
15153#23914#33,0#management#married#tertiary#no#0,0#no#no#cellular#29#aug#2.0#-1,0#0#unknown#no
15154#43440#29,0#technician#single#tertiary#no#218,0#yes#no#cellular#12#apr#1.0#-1,0#0#unknown#no
15155#9113##services#married#secondary#no#0,0#no#yes#unknown#5#jun#2.0#-1,0#0#unknown#no
15156#11647#43,0#blue-collar#married#unknown#no#-19,0#no#yes#unknown#20#jun#2.0#-1,0#0#unknown#no
15157#2647#41,0#management#married#primary#no#-4,0#yes#yes#unknown#13#may#3.0#-1,0#0#unknown#no
15158#7872##management#married#primary#no#320,0#yes#no#unknown#30#may#2.0#-1,0#0#unknown#no
15159#33863#28,0#entrepreneur#single#tertiary#no#104,0#no#no#cellular#30#apr#1.0#-1,0#0#unknown#no
15160#25396##admin.#married#secondary#no#597,0#yes#yes#cellular#18#nov#2.0#-1,0#0#unknown#no
15161#7622#42,0#management#married#tertiary#no#1767,0#yes#no#unknown#30#may#1.0#-1,0#0#unknown#no
15162#37403#37,0#blue-collar#married#secondary#no#426,0#yes#no#cellular#13#may#3.0#345,0#3#failure#no
15163#17923#48,0#unknown#married#unknown#no#286,0#no#no#cellular#30#jul#2.0#-1,0#0#unknown#no
15164#21553#34,0#management#married#tertiary#no#5399,0#no#no#cellular#19#aug#4.0#-1,0#0#unknown#no
15165#18044#38,0#technician#married#secondary#yes#238,0#no#no#cellular#30#jul#8.0#-1,0#0#unknown#no
15166#43264#61,0#retired#married#secondary#no#2801,0#yes#yes#cellular#10#mar#1.0#-1,0#0#unknown#yes
15167#29999#40,0#admin.#married#secondary#no#1142,0#yes#no#cellular#4#feb#1.0#-1,0#0#unknown#no
15168#24529#43,0#blue-collar#divorced#secondary#no#-259,0#no#no#cellular#17#nov#1.0#171,0#2#other#no
15169#20002##management#married#tertiary#no#1468,0#no#no#cellular#8#aug#2.0#-1,0#0#unknown#no
15170#18538#49,0#entrepreneur#divorced#primary#yes#-736,0#no#no#cellular#31#jul#6.0#-1,0#0#unknown#no
15171#2144#54,0#retired#married#primary#no#208,0#no#no#unknown#12#may#1.0#-1,0#0#unknown#no
15172#14987#29,0#management#married#tertiary#no#16,0#yes#no#cellular#16#jul#6.0#-1,0#0#unknown#no
15173#30669#37,0#admin.#single#secondary#no#310,0#no#yes#cellular#6#feb#1.0#-1,0#0#unknown#no
15174#36192#41,0#services#married#unknown#no#88,0#yes#no#cellular#11#may#1.0#336,0#2#failure#no
15175#19916#57,0#admin.#married#secondary#no#3242,0#no#no#cellular#8#aug#4.0#-1,0#0#unknown#no
15176#30093#49,0#blue-collar#married#secondary#no#171,0#no#no#cellular#4#feb#3.0#175,0#2#other#no
15177#9286#26,0#services#single#secondary#no#512,0#yes#yes#unknown#5#jun#3.0#-1,0#0#unknown#no
15178#26445##unemployed#single#secondary#no#1249,0#yes#no#cellular#20#nov#1.0#171,0#4#other#no
15179#17229#43,0#services#married#secondary#no#-236,0#yes#no#cellular#28#jul#7.0#-1,0#0#unknown#yes
15180#27124#37,0#admin.#divorced#secondary#no#1533,0#yes#no#cellular#21#nov#4.0#-1,0#0#unknown#yes
15181#38707#44,0#management#single#secondary#no#3684,0#yes#no#cellular#15#may#5.0#179,0#3#failure#no
15182#37038#32,0#services#single#secondary#no#481,0#yes#no#cellular#13#may#3.0#174,0#4#failure#no
15183#26645#59,0#management#divorced#tertiary#no#17056,0#yes#no#cellular#20#nov#2.0#-1,0#0#unknown#no
15184#40977##retired#married#secondary#no#4785,0#no#no#cellular#13#aug#3.0#-1,0#0#unknown#no
15185#22216#30,0#services#single#tertiary#no#-477,0#no#yes#cellular#21#aug#2.0#-1,0#0#unknown#yes
15186#5111#48,0#blue-collar#married#primary#no#5366,0#yes#no#unknown#21#may#3.0#-1,0#0#unknown#no
15187#12029##admin.#divorced#secondary#no#166,0#no#no#unknown#20#jun#4.0#-1,0#0#unknown#no
15188#29450##admin.#married#secondary#no#169,0#no#no#cellular#3#feb#1.0#-1,0#0#unknown#yes
15189#41611#196,0#retired#married#primary#no#425,0#no#no#telephone#32#sep#1.0#92,0#2#success#yes
15190#17227#27,0#admin.#married#secondary#no#31,0#yes#yes#cellular#28#jul#2.0#-1,0#0#unknown#no
15191#8642#42,0#blue-collar#married#primary#no#1017,0#yes#no#unknown#3#jun#18.0#-1,0#0#unknown#no
15192#43811#26,0#entrepreneur#single#secondary#no#681,0#no#yes#unknown#27#may#1.0#-1,0#0#unknown#no
15193#12297##technician#married#secondary#no#80,0#no#yes#unknown#25#jun#1.0#-1,0#0#unknown#no
15194#17775#45,0#technician#married#tertiary#no#4647,0#no#no#cellular#29#jul#3.0#-1,0#0#unknown#no
15195#27693#45,0#blue-collar#single#primary#no#2121,0#no#no#cellular#21#nov#2.0#-1,0#0#unknown#no
15196#44854#58,0#technician#married#secondary#no#99,0#no#no#telephone#22#sep#2.0#-1,0#0#unknown#yes
15197#3925#43,0#technician#married#secondary#no#17,0#yes#no#unknown#16#may#4.0#-1,0#0#unknown#no
15198#44995#27,0#student#single#secondary#no#279,0#no#no#cellular#12#oct#1.0#-1,0#0#unknown#yes
15199#22737#45,0#self-employed#married#secondary#no#-124,0#no#no#cellular#25#aug#4.0#-1,0#0#unknown#no
15200#21759#36,0#management#married#tertiary#no#85,0#no#no#cellular#19#aug#3.0#-1,0#0#unknown#no
15201#36849#47,0#blue-collar#married#unknown#no#1044,0#yes#no#cellular#12#may#6.0#371,0#1#failure#no
15202#42762#61,0#retired#married#secondary#no#89,0#no#no#cellular#28#jan#2.0#92,0#3#failure#no
15203#5345#32,0#technician#married#secondary#no#0,0#yes#no#unknown#23#may#2.0#-1,0#0#unknown#no
15204#9767#39,0#blue-collar#single#primary#no#1530,0#yes#no#unknown#9#jun#1.0#-1,0#0#unknown#no
15205#4281#31,0#admin.#divorced#secondary#no#47,0#yes#no#unknown#19#may#9.0#-1,0#0#unknown#no
15206#35344#29,0#blue-collar#single#secondary#no#2891,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
15207#21429#35,0#management#single#tertiary#no#0,0#no#no#cellular#18#aug#5.0#-1,0#0#unknown#no
15208#15344##blue-collar#married#secondary#no#661,0#yes#no#cellular#18#jul#1.0#-1,0#0#unknown#yes
15209#42624#66,0#self-employed#married#tertiary#no#147,0#no#no#telephone#12#jan#1.0#-1,0#0#unknown#yes
15210#8735#44,0#management#married#tertiary#no#529,0#yes#no#unknown#4#jun#4.0#-1,0#0#unknown#no
15211#34421#42,0#admin.#divorced#secondary#no#2133,0#yes#no#cellular#5#may#5.0#-1,0#0#unknown#no
15212#8825#60,0#housemaid#divorced#secondary#no#387,0#yes#no#unknown#4#jun#1.0#-1,0#0#unknown#no
15213#27462#53,0#management#married#primary#no#13901,0#yes#no#cellular#21#nov#1.0#-1,0#0#unknown#no
15214#17537#58,0#retired#divorced#tertiary#no#2086,0#yes#no#cellular#29#jul#2.0#-1,0#0#unknown#no
15215#118#33,0#management#single#tertiary#no#-67,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
15216#43912#27,0#admin.#single#unknown#no#861,0#no#no#cellular#14#jun#4.0#-1,0#0#unknown#yes
15217#32371#50,0#services#married#secondary#no#-197,0#yes#no#cellular#16#apr#2.0#-1,0#0#unknown#no
15218#31279#57,0#management#married#tertiary#no#256,0#no#no#cellular#6#mar#1.0#-1,0#0#unknown#yes
15219#32558##retired#divorced#primary#no#-779,0#yes#yes#cellular#17#apr#1.0#-1,0#0#unknown#yes
15220#6047#33,0#admin.#divorced#secondary#no#392,0#yes#yes#unknown#26#may#3.0#-1,0#0#unknown#no
15221#8282#49,0#services#married#secondary#no#180,0#yes#yes#unknown#2#jun#3.0#-1,0#0#unknown#no
15222#10993#56,0#entrepreneur#divorced#tertiary#no#22946,0#no#no#unknown#17#jun#3.0#-1,0#0#unknown#no
15223#40777#33,0#technician#married#secondary#no#218,0#yes#yes#cellular#10#aug#1.0#161,0#4#failure#no
15224#20818#39,0#technician#married#secondary#no#8,0#no#yes#cellular#13#aug#2.0#-1,0#0#unknown#no
15225#21208#46,0#blue-collar#married#secondary#no#456,0#no#yes#cellular#18#aug#6.0#-1,0#0#unknown#yes
15226#21061#58,0#management#married#tertiary#no#361,0#no#no#cellular#14#aug#2.0#-1,0#0#unknown#no
15227#27763#47,0#technician#married#secondary#no#459,0#no#no#cellular#28#jan#1.0#-1,0#0#unknown#no
15228#10233#54,0#retired#married#secondary#no#3671,0#no#no#unknown#11#jun#3.0#-1,0#0#unknown#no
15229#10009#35,0#unemployed#married#primary#no#859,0#no#no#unknown#9#jun#3.0#-1,0#0#unknown#no
15230#6265##blue-collar#single#secondary#no#936,0#yes#no#unknown#27#may#16.0#-1,0#0#unknown#no
15231#35554#24,0#services#single#secondary#no#638,0#yes#yes#cellular#7#may#3.0#-1,0#0#unknown#yes
15232#9979#38,0#blue-collar#single#secondary#no#93,0#no#no#unknown#9#jun#6.0#-1,0#0#unknown#no
15233#23#32,0#blue-collar#single#primary#no#23,0#yes#yes#unknown#5#may#1.0#-1,0#0#unknown#no
15234#36968#46,0#entrepreneur#married#secondary#no#404,0#yes#no#telephone#12#may#7.0#347,0#2#failure#no
15235#19356##services#married#secondary#no#473,0#no#yes#cellular#6#aug#2.0#-1,0#0#unknown#no
15236#11979#40,0#admin.#married#secondary#no#-283,0#no#no#unknown#20#jun#2.0#-1,0#0#unknown#no
15237#33279#37,0#services#single#secondary#no#99,0#yes#yes#cellular#20#apr#1.0#-1,0#0#unknown#no
15238#13152#42,0#management#married#tertiary#no#478,0#no#yes#cellular#8#jul#1.0#-1,0#0#unknown#no
15239#33019#32,0#admin.#married#secondary#no#923,0#yes#no#cellular#17#apr#4.0#-1,0#0#unknown#no
15240#13147#25,0#technician#single#secondary#no#102,0#no#yes#cellular#8#jul#2.0#-1,0#0#unknown#yes
15241#1047#23,0#management#single#tertiary#no#2605,0#yes#no#unknown#7#may#6.0#-1,0#0#unknown#no
15242#320#42,0#blue-collar#married#secondary#no#490,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
15243#27907#52,0#housemaid#divorced#primary#no#337,0#no#no#cellular#28#jan#1.0#-1,0#0#unknown#no
15244#33472#36,0#entrepreneur#married#tertiary#no#99,0#yes#yes#cellular#20#apr#3.0#-1,0#0#unknown#no
15245#34626#45,0#services#divorced#secondary#no#343,0#yes#no#cellular#5#may#2.0#-1,0#0#unknown#no
15246#38672##admin.#married#secondary#no#2278,0#yes#no#cellular#15#may#3.0#298,0#1#failure#no
15247#3467##entrepreneur#married#unknown#no#676,0#yes#yes#unknown#15#may#3.0#-1,0#0#unknown#no
15248#3387##blue-collar#married#secondary#no#39,0#yes#no#unknown#15#may#1.0#-1,0#0#unknown#no
15249#14523#37,0#blue-collar#married#secondary#no#0,0#yes#no#cellular#15#jul#2.0#-1,0#0#unknown#no
15250#11811#56,0#blue-collar#married#unknown#no#665,0#yes#no#unknown#20#jun#2.0#-1,0#0#unknown#no
15251#28407#28,0#technician#single#tertiary#no#959,0#yes#no#cellular#29#jan#2.0#-1,0#0#unknown#no
15252#32244#58,0#blue-collar#married#secondary#no#8195,0#yes#no#cellular#16#apr#1.0#332,0#2#failure#no
15253#25937#49,0#blue-collar#married#primary#no#6429,0#no#no#cellular#19#nov#1.0#-1,0#0#unknown#no
15254#11223#58,0#housemaid#married#primary#no#1274,0#no#no#unknown#18#jun#7.0#-1,0#0#unknown#no
15255#27045##blue-collar#married#primary#no#3108,0#no#yes#cellular#21#nov#1.0#-1,0#0#unknown#no
15256#36052#49,0#services#divorced#secondary#no#579,0#yes#no#cellular#11#may#1.0#-1,0#0#unknown#no
15257#41178#36,0#admin.#single#secondary#no#5871,0#no#no#cellular#19#aug#2.0#-1,0#0#unknown#no
15258#10193#36,0#unemployed#single#tertiary#no#9019,0#yes#no#unknown#11#jun#3.0#-1,0#0#unknown#no
15259#21602#32,0#technician#married#secondary#no#4133,0#no#no#cellular#19#aug#6.0#-1,0#0#unknown#no
15260#33793#30,0#admin.#married#secondary#no#482,0#no#no#cellular#23#apr#1.0#-1,0#0#unknown#no
15261#2127#25,0#services#single#secondary#no#-439,0#yes#no#unknown#12#may#1.0#-1,0#0#unknown#no
15262#35850#46,0#technician#divorced#secondary#no#0,0#yes#yes#cellular#8#may#1.0#262,0#1#other#no
15263#5819#47,0#services#married#secondary#no#2070,0#yes#yes#unknown#26#may#1.0#-1,0#0#unknown#no
15264#9276##management#married#unknown#no#2296,0#no#no#unknown#5#jun#2.0#-1,0#0#unknown#no
15265#33994#36,0#self-employed#single#tertiary#no#0,0#yes#no#cellular#30#apr#1.0#-1,0#0#unknown#no
15266#1012#34,0#technician#divorced#secondary#no#1107,0#yes#yes#unknown#7#may#1.0#-1,0#0#unknown#no
15267#3691#32,0#management#married#tertiary#no#0,0#yes#no#unknown#16#may#1.0#-1,0#0#unknown#no
15268#11253##technician#married#secondary#no#4,0#yes#yes#unknown#18#jun#2.0#-1,0#0#unknown#yes
15269#7249#49,0#admin.#divorced#secondary#no#266,0#yes#no#unknown#29#may#2.0#-1,0#0#unknown#no
15270#821#58,0#services#divorced#secondary#no#1109,0#yes#yes#unknown#7#may#1.0#-1,0#0#unknown#no
15271#35466#27,0#blue-collar#single#secondary#no#4,0#yes#no#cellular#7#may#2.0#-1,0#0#unknown#no
15272#16904#26,0#self-employed#married#secondary#yes#254,0#yes#yes#cellular#25#jul#1.0#-1,0#0#unknown#no
