ID§age§job§marital§education§default§balance§housing§loan§contact§day§month§campaign§pdays§previous§poutcome§y
3§§entrepreneur§married§secondary§no§2,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
28180§35,0§technician§married§secondary§no§149,0§yes§no§cellular§29§jan§1,0§245,0§2§failure§
28183§60,0§technician§married§secondary§no§478,0§no§no§cellular§29§jan§1,0§171,0§5§failure§
28188§§entrepreneur§married§secondary§no§294,0§yes§no§cellular§29§jan§1,0§196,0§1§failure§
28191§32,0§services§single§secondary§no§486,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28192§30,0§management§single§tertiary§no§1422,0§yes§yes§cellular§29§jan§1,0§223,0§27§failure§
28194§27,0§self-employed§married§secondary§yes§254,0§yes§yes§cellular§29§jan§1,0§188,0§1§failure§
28202§26,0§technician§single§tertiary§no§252,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28205§54,0§admin.§married§secondary§no§0,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28206§51,0§management§single§tertiary§no§0,0§yes§no§telephone§29§jan§1,0§244,0§2§failure§
28210§29,0§entrepreneur§single§primary§no§97,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28215§31,0§management§single§tertiary§no§1120,0§yes§no§cellular§29§jan§2,0§239,0§1§other§
28219§27,0§admin.§single§tertiary§no§73,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28221§53,0§blue-collar§married§primary§yes§-462,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28228§31,0§admin.§single§secondary§no§547,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28229§§blue-collar§divorced§primary§no§299,0§yes§no§cellular§29§jan§2,0§261,0§2§failure§
28230§31,0§management§single§tertiary§no§1073,0§yes§no§telephone§29§jan§1,0§-1,0§0§unknown§
28231§§§§secondary§no§§§no§cellular§29§jan§§§0§unknown§
28234§54,0§retired§divorced§tertiary§no§294,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28237§31,0§management§married§tertiary§no§732,0§yes§no§cellular§29§jan§1,0§241,0§1§failure§
28239§38,0§entrepreneur§single§tertiary§no§-274,0§yes§yes§cellular§29§jan§1,0§247,0§2§failure§
28241§48,0§services§married§primary§no§1496,0§yes§no§telephone§29§jan§2,0§258,0§2§failure§
28245§§unemployed§single§secondary§no§443,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28247§58,0§management§divorced§secondary§no§44,0§yes§no§cellular§29§jan§1,0§195,0§1§other§
28252§§management§single§tertiary§yes§4,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28254§36,0§management§single§tertiary§no§-155,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28255§35,0§management§single§secondary§no§81,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28256§30,0§services§single§secondary§no§-386,0§yes§no§cellular§29§jan§1,0§237,0§2§other§
28258§30,0§blue-collar§single§secondary§no§783,0§no§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28259§53,0§management§married§tertiary§no§232,0§yes§no§telephone§29§jan§1,0§-1,0§0§unknown§
28261§36,0§management§married§tertiary§no§0,0§yes§no§cellular§29§jan§1,0§237,0§17§other§
28267§35,0§unemployed§single§tertiary§no§4959,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28268§35,0§blue-collar§single§secondary§no§1239,0§yes§no§cellular§29§jan§1,0§195,0§1§failure§
28274§45,0§blue-collar§married§secondary§no§4022,0§yes§no§cellular§29§jan§3,0§-1,0§0§unknown§
28275§§management§single§tertiary§no§1361,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28281§60,0§retired§married§unknown§no§3875,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28286§34,0§management§married§tertiary§no§276,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28290§40,0§blue-collar§divorced§secondary§no§94,0§yes§no§cellular§29§jan§1,0§245,0§1§failure§
28294§38,0§admin.§married§secondary§no§-33,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28298§53,0§entrepreneur§married§tertiary§no§71,0§no§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28306§45,0§blue-collar§married§primary§no§487,0§yes§no§cellular§29§jan§1,0§163,0§4§failure§
28311§35,0§technician§married§secondary§no§128,0§no§yes§cellular§29§jan§1,0§205,0§2§other§
28316§31,0§services§single§tertiary§no§1025,0§no§no§cellular§29§jan§1,0§254,0§3§failure§
28317§45,0§blue-collar§married§primary§no§789,0§no§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28323§32,0§admin.§single§secondary§no§-32,0§no§no§cellular§29§jan§1,0§185,0§5§other§
28327§56,0§management§single§tertiary§no§545,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28328§47,0§management§married§secondary§no§1144,0§no§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28329§38,0§services§single§tertiary§no§1418,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28332§38,0§technician§single§tertiary§no§1077,0§yes§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28333§48,0§self-employed§married§tertiary§no§929,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28345§28,0§student§single§tertiary§no§682,0§yes§no§cellular§29§jan§1,0§255,0§2§other§
28347§27,0§unemployed§married§secondary§no§1167,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28350§56,0§blue-collar§married§primary§no§420,0§yes§no§cellular§29§jan§1,0§265,0§1§failure§
28353§56,0§entrepreneur§married§primary§no§84,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28358§39,0§services§single§secondary§no§1281,0§yes§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28361§28,0§blue-collar§married§secondary§no§255,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28362§55,0§blue-collar§married§primary§no§119,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28363§30,0§admin.§single§tertiary§no§726,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28365§41,0§admin.§single§secondary§no§386,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28371§26,0§unemployed§single§primary§no§1213,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28372§36,0§entrepreneur§single§tertiary§no§658,0§yes§no§cellular§29§jan§1,0§227,0§3§failure§
28376§37,0§management§married§tertiary§yes§-22,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28379§37,0§admin.§single§secondary§no§328,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28383§32,0§unemployed§married§secondary§no§869,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28386§39,0§services§married§secondary§no§1099,0§no§no§cellular§29§jan§2,0§245,0§6§failure§
28388§27,0§student§single§secondary§no§10536,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28389§46,0§management§married§primary§no§589,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28390§27,0§services§married§unknown§no§-209,0§yes§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28392§35,0§admin.§married§secondary§no§147,0§yes§yes§cellular§29§jan§1,0§184,0§7§failure§
28394§32,0§blue-collar§single§secondary§no§1139,0§yes§no§cellular§29§jan§1,0§191,0§1§failure§
28399§§unemployed§married§secondary§no§1152,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28400§46,0§retired§married§primary§no§270,0§yes§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28403§§blue-collar§married§primary§no§475,0§yes§yes§cellular§29§jan§2,0§251,0§7§other§
28411§28,0§management§single§tertiary§no§278,0§no§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28415§53,0§services§married§secondary§no§367,0§yes§yes§cellular§29§jan§1,0§261,0§2§failure§
28417§39,0§technician§married§tertiary§no§1889,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28418§35,0§management§married§tertiary§no§1100,0§no§yes§cellular§29§jan§2,0§-1,0§0§unknown§
28419§39,0§entrepreneur§divorced§tertiary§no§208,0§yes§no§cellular§29§jan§1,0§240,0§2§failure§
28420§52,0§unknown§married§tertiary§no§1618,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28422§60,0§retired§divorced§unknown§no§-49,0§yes§no§cellular§29§jan§1,0§261,0§2§failure§
28425§45,0§blue-collar§divorced§secondary§no§1269,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28427§38,0§blue-collar§married§secondary§no§2978,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28428§32,0§entrepreneur§married§secondary§no§604,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28431§38,0§management§single§tertiary§no§16957,0§yes§no§telephone§29§jan§1,0§247,0§2§failure§
28432§28,0§technician§married§secondary§no§232,0§yes§yes§cellular§29§jan§1,0§261,0§1§failure§
28435§40,0§blue-collar§divorced§primary§no§4168,0§yes§no§cellular§29§jan§1,0§223,0§3§failure§
28436§26,0§blue-collar§single§primary§no§155,0§yes§no§cellular§29§jan§1,0§244,0§4§failure§
28444§59,0§unemployed§single§unknown§no§541,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28445§44,0§unemployed§married§primary§no§1,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28447§47,0§admin.§single§tertiary§no§0,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28448§27,0§admin.§single§secondary§no§671,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28449§27,0§technician§married§secondary§no§2735,0§yes§no§cellular§29§jan§1,0§-1,0§0§unknown§
28451§34,0§self-employed§single§tertiary§no§892,0§yes§no§telephone§29§jan§3,0§-1,0§0§unknown§
28458§36,0§self-employed§single§tertiary§no§4634,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28461§28,0§admin.§single§secondary§no§1823,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28462§31,0§services§single§secondary§no§1015,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28466§26,0§self-employed§single§tertiary§no§-101,0§no§yes§cellular§29§jan§1,0§-1,0§0§unknown§
28471§36,0§technician§married§secondary§no§659,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28475§31,0§self-employed§married§tertiary§no§229,0§no§no§cellular§29§jan§1,0§-1,0§0§unknown§
28478§§management§single§tertiary§no§6507,0§yes§yes§cellular§29§jan§1,0§196,0§1§failure§
28479§32,0§blue-collar§divorced§secondary§no§98,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28481§40,0§technician§married§secondary§no§56,0§yes§yes§cellular§29§jan§1,0§247,0§1§failure§
28484§30,0§entrepreneur§divorced§tertiary§no§1192,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28485§26,0§blue-collar§single§secondary§no§2613,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28486§33,0§services§single§tertiary§no§-452,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28492§51,0§housemaid§married§secondary§no§1270,0§no§no§cellular§29§jan§3,0§-1,0§0§unknown§
28493§31,0§entrepreneur§single§tertiary§no§137,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28496§52,0§blue-collar§married§secondary§no§408,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28500§47,0§management§married§tertiary§yes§-337,0§no§yes§cellular§29§jan§4,0§161,0§2§failure§
28507§40,0§management§single§tertiary§no§732,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28514§27,0§technician§single§secondary§no§18,0§no§no§cellular§29§jan§3,0§-1,0§0§unknown§
28518§29,0§technician§single§tertiary§no§370,0§yes§no§cellular§29§jan§2,0§251,0§5§failure§
28520§31,0§management§married§secondary§no§0,0§no§no§cellular§29§jan§2,0§160,0§2§failure§
28522§55,0§technician§married§unknown§no§574,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28523§56,0§entrepreneur§divorced§primary§no§29,0§no§no§cellular§29§jan§2,0§227,0§1§failure§
28526§27,0§student§single§unknown§no§6424,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28528§44,0§management§married§secondary§no§488,0§no§yes§cellular§29§jan§2,0§183,0§11§failure§
28530§§blue-collar§married§secondary§no§-211,0§yes§no§cellular§29§jan§2,0§184,0§5§failure§
28531§33,0§blue-collar§married§primary§no§902,0§yes§no§cellular§29§jan§2,0§247,0§2§failure§
28532§30,0§technician§married§tertiary§no§141,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28537§28,0§student§single§secondary§no§24,0§yes§no§cellular§29§jan§2,0§196,0§2§failure§
28541§35,0§admin.§single§secondary§no§1836,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28542§30,0§technician§single§secondary§no§0,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28547§26,0§blue-collar§married§secondary§no§145,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28548§30,0§management§married§tertiary§no§112,0§yes§no§cellular§29§jan§2,0§258,0§1§other§
28549§44,0§technician§single§tertiary§no§900,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28551§§management§divorced§tertiary§no§1016,0§yes§no§cellular§29§jan§2,0§234,0§5§failure§
28555§29,0§management§married§tertiary§no§1366,0§yes§no§cellular§29§jan§2,0§245,0§3§failure§
28557§54,0§self-employed§divorced§tertiary§no§0,0§yes§yes§cellular§29§jan§3,0§-1,0§0§unknown§
28559§37,0§management§divorced§secondary§no§414,0§no§no§cellular§29§jan§2,0§162,0§4§failure§
28562§50,0§blue-collar§married§primary§no§2142,0§yes§no§cellular§29§jan§2,0§224,0§1§other§
28564§40,0§technician§single§secondary§no§822,0§yes§yes§cellular§29§jan§2,0§245,0§3§failure§
28566§32,0§technician§single§secondary§no§337,0§yes§no§cellular§29§jan§2,0§261,0§1§other§
28568§36,0§entrepreneur§married§secondary§no§0,0§yes§no§cellular§29§jan§3,0§-1,0§0§unknown§
28571§30,0§technician§single§secondary§no§133,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28573§31,0§services§single§secondary§no§-250,0§no§yes§cellular§29§jan§2,0§-1,0§0§unknown§
28574§33,0§admin.§single§tertiary§no§2,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28577§31,0§technician§single§secondary§no§304,0§no§no§cellular§29§jan§2,0§160,0§2§other§
28581§48,0§unemployed§married§primary§yes§-6,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28582§§blue-collar§single§secondary§no§56,0§yes§no§cellular§29§jan§4,0§-1,0§0§unknown§
28584§27,0§admin.§married§secondary§no§102,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28587§38,0§blue-collar§married§secondary§no§99,0§no§no§telephone§29§jan§2,0§-1,0§0§unknown§
28592§32,0§blue-collar§married§primary§no§2291,0§yes§yes§cellular§29§jan§3,0§182,0§24§other§
28593§37,0§technician§married§secondary§no§1120,0§yes§no§cellular§29§jan§3,0§244,0§5§failure§
28598§29,0§unemployed§single§secondary§no§12,0§yes§no§cellular§29§jan§3,0§-1,0§0§unknown§
28601§§services§single§secondary§yes§-261,0§yes§no§cellular§29§jan§2,0§255,0§1§other§
28603§33,0§services§married§secondary§no§554,0§yes§no§cellular§29§jan§2,0§258,0§1§other§
28606§45,0§management§married§secondary§no§25,0§no§no§cellular§29§jan§3,0§-1,0§0§unknown§
28608§46,0§management§single§tertiary§no§593,0§yes§no§cellular§29§jan§3,0§-1,0§0§unknown§
28609§37,0§admin.§single§secondary§no§796,0§yes§no§telephone§29§jan§3,0§-1,0§0§unknown§
28614§57,0§technician§married§secondary§no§2550,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28616§44,0§services§married§secondary§no§133,0§no§no§cellular§29§jan§3,0§-1,0§0§unknown§
28619§38,0§technician§single§secondary§no§211,0§yes§no§cellular§29§jan§2,0§-1,0§0§unknown§
28621§31,0§technician§divorced§secondary§no§0,0§no§no§cellular§29§jan§2,0§164,0§4§other§
28623§31,0§entrepreneur§married§secondary§no§10,0§yes§yes§cellular§29§jan§3,0§188,0§9§failure§
28624§49,0§management§single§secondary§no§61,0§yes§no§cellular§29§jan§2,0§246,0§1§failure§
28627§32,0§management§single§tertiary§no§316,0§yes§no§cellular§29§jan§3,0§-1,0§0§unknown§
28628§31,0§admin.§single§secondary§no§0,0§no§no§telephone§29§jan§3,0§-1,0§0§unknown§
28632§26,0§self-employed§single§tertiary§no§211,0§no§no§cellular§29§jan§3,0§-1,0§0§unknown§
28641§§services§single§secondary§no§442,0§yes§no§cellular§29§jan§3,0§258,0§3§failure§
28643§46,0§management§divorced§tertiary§no§-154,0§yes§yes§cellular§29§jan§2,0§247,0§2§failure§
28646§27,0§technician§single§secondary§no§223,0§no§yes§cellular§29§jan§2,0§192,0§3§success§
28650§31,0§unemployed§single§tertiary§no§498,0§no§no§cellular§29§jan§2,0§-1,0§0§unknown§
28652§31,0§blue-collar§single§primary§no§3466,0§yes§no§telephone§29§jan§3,0§183,0§25§other§
28653§32,0§admin.§divorced§secondary§no§678,0§no§no§telephone§29§jan§4,0§-1,0§0§unknown§
28666§30,0§technician§single§tertiary§no§6683,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28675§35,0§technician§single§secondary§no§951,0§yes§no§cellular§30§jan§1,0§254,0§1§failure§
28677§26,0§admin.§single§secondary§no§1348,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28678§47,0§management§divorced§tertiary§no§697,0§yes§no§cellular§30§jan§1,0§-1,0§0§unknown§
28679§36,0§self-employed§single§tertiary§no§583,0§no§no§cellular§30§jan§1,0§235,0§1§other§
28682§34,0§blue-collar§married§secondary§no§34,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28683§47,0§unemployed§married§primary§no§168,0§yes§no§telephone§30§jan§1,0§241,0§1§other§
28685§36,0§unemployed§married§secondary§no§-35,0§no§no§cellular§30§jan§3,0§-1,0§0§unknown§
28686§34,0§technician§married§secondary§no§508,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28689§29,0§admin.§single§secondary§no§1751,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28690§60,0§technician§married§tertiary§no§-71,0§yes§yes§cellular§30§jan§1,0§-1,0§0§unknown§
28696§28,0§self-employed§single§secondary§no§242,0§yes§no§cellular§30§jan§1,0§-1,0§0§unknown§
28700§49,0§management§married§tertiary§no§342,0§no§no§cellular§30§jan§2,0§228,0§1§failure§
28701§27,0§technician§single§tertiary§no§261,0§yes§yes§cellular§30§jan§2,0§-1,0§0§unknown§
28705§29,0§services§single§secondary§no§192,0§no§no§cellular§30§jan§4,0§-1,0§0§unknown§
28707§35,0§technician§single§tertiary§no§364,0§no§yes§cellular§30§jan§3,0§205,0§3§failure§
28710§47,0§technician§divorced§tertiary§no§405,0§yes§no§cellular§30§jan§1,0§260,0§1§failure§
28711§36,0§technician§single§secondary§no§98,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28716§26,0§management§single§tertiary§no§157,0§yes§no§cellular§30§jan§2,0§-1,0§0§unknown§
28731§34,0§services§single§secondary§no§2257,0§no§yes§telephone§30§jan§2,0§-1,0§0§unknown§
28732§27,0§student§single§secondary§no§1566,0§no§no§cellular§30§jan§5,0§-1,0§0§unknown§
28733§42,0§retired§single§tertiary§no§308,0§no§no§cellular§30§jan§2,0§-1,0§0§unknown§
28736§43,0§admin.§divorced§secondary§no§540,0§yes§no§cellular§30§jan§1,0§-1,0§0§unknown§
28746§50,0§management§married§tertiary§no§0,0§no§no§cellular§30§jan§1,0§205,0§1§failure§
28747§56,0§management§married§tertiary§no§4,0§yes§yes§cellular§30§jan§1,0§2,0§5§other§
28752§42,0§admin.§divorced§secondary§no§936,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28757§42,0§management§divorced§secondary§no§640,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28761§46,0§services§married§secondary§no§417,0§yes§no§cellular§30§jan§1,0§2,0§1§other§
28764§58,0§entrepreneur§married§tertiary§no§364,0§yes§no§cellular§30§jan§1,0§-1,0§0§unknown§
28771§32,0§blue-collar§single§secondary§no§604,0§no§no§cellular§30§jan§2,0§196,0§2§other§
28774§46,0§technician§married§secondary§no§198,0§yes§no§cellular§30§jan§1,0§2,0§6§other§
28779§46,0§blue-collar§single§secondary§no§332,0§no§no§cellular§30§jan§4,0§-1,0§0§unknown§
28781§52,0§blue-collar§married§primary§no§109,0§yes§no§cellular§30§jan§4,0§248,0§2§failure§
28782§31,0§unemployed§single§secondary§no§315,0§no§no§cellular§30§jan§1,0§2,0§1§other§
28788§45,0§services§divorced§secondary§no§-28,0§no§yes§cellular§30§jan§1,0§-1,0§0§unknown§
28793§33,0§services§divorced§secondary§no§1194,0§yes§no§cellular§30§jan§1,0§-1,0§0§unknown§
28801§40,0§technician§married§tertiary§no§1554,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28804§50,0§unemployed§divorced§secondary§no§717,0§yes§no§cellular§30§jan§1,0§-1,0§0§unknown§
28809§31,0§technician§single§secondary§no§198,0§no§no§cellular§30§jan§4,0§-1,0§0§unknown§
28814§35,0§unemployed§married§secondary§no§330,0§no§no§cellular§30§jan§4,0§-1,0§0§unknown§
28822§28,0§services§single§secondary§no§2992,0§yes§no§cellular§30§jan§4,0§-1,0§0§unknown§
28824§38,0§blue-collar§married§secondary§no§451,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28828§§admin.§married§secondary§no§0,0§yes§yes§cellular§30§jan§1,0§252,0§1§failure§
28831§60,0§retired§married§secondary§no§143,0§no§no§telephone§30§jan§1,0§-1,0§0§unknown§
28832§54,0§technician§married§unknown§no§0,0§no§no§cellular§30§jan§1,0§-1,0§0§unknown§
28834§26,0§technician§single§tertiary§no§152,0§no§no§cellular§30§jan§2,0§2,0§1§other§
28848§32,0§services§married§secondary§no§198,0§no§no§cellular§30§jan§2,0§-1,0§0§unknown§
28854§27,0§blue-collar§single§primary§no§21,0§no§no§cellular§30§jan§4,0§-1,0§0§unknown§
28856§§management§married§tertiary§no§943,0§yes§no§cellular§30§jan§2,0§2,0§2§other§
28857§39,0§management§married§secondary§no§1585,0§yes§no§cellular§30§jan§2,0§-1,0§0§unknown§
28858§33,0§admin.§divorced§secondary§no§961,0§no§no§cellular§30§jan§2,0§-1,0§0§unknown§
28860§§blue-collar§divorced§secondary§no§-175,0§yes§no§cellular§30§jan§4,0§266,0§1§failure§
28861§28,0§blue-collar§single§primary§no§442,0§no§no§cellular§30§jan§2,0§-1,0§0§unknown§
28864§47,0§technician§divorced§secondary§no§1194,0§yes§yes§cellular§30§jan§3,0§-1,0§0§unknown§
28868§26,0§management§single§tertiary§no§800,0§yes§no§cellular§30§jan§2,0§-1,0§0§unknown§
28869§§technician§married§tertiary§no§2336,0§no§no§telephone§30§jan§2,0§2,0§3§other§
28874§41,0§blue-collar§divorced§secondary§no§-333,0§yes§no§cellular§30§jan§3,0§270,0§2§failure§
28878§51,0§unemployed§married§secondary§no§17418,0§yes§no§telephone§30§jan§2,0§-1,0§0§unknown§
28881§34,0§management§married§secondary§no§243,0§no§no§cellular§30§jan§4,0§-1,0§0§unknown§
28882§31,0§admin.§divorced§secondary§no§217,0§yes§no§cellular§30§jan§2,0§-1,0§0§unknown§
28883§27,0§management§single§tertiary§no§0,0§yes§no§cellular§30§jan§4,0§-1,0§0§unknown§
28885§§technician§single§tertiary§no§501,0§no§yes§telephone§30§jan§4,0§-1,0§0§unknown§
28888§53,0§unemployed§married§secondary§no§2180,0§no§no§telephone§30§jan§3,0§-1,0§0§unknown§
28896§35,0§admin.§single§secondary§no§1721,0§no§no§telephone§30§jan§3,0§-1,0§0§unknown§
28902§§blue-collar§single§secondary§no§49,0§no§no§cellular§30§jan§2,0§-1,0§0§unknown§
28904§31,0§unemployed§single§primary§no§163,0§no§no§cellular§30§jan§2,0§2,0§1§other§
28907§66,0§housemaid§married§secondary§no§1929,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28909§57,0§retired§married§secondary§no§523,0§no§yes§cellular§2§feb§6,0§-1,0§0§unknown§
28910§46,0§management§married§tertiary§no§699,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28912§43,0§admin.§married§secondary§no§764,0§yes§no§cellular§2§feb§1,0§-1,0§0§unknown§
28917§29,0§admin.§single§secondary§no§124,0§no§no§cellular§2§feb§1,0§5,0§2§other§
28918§21,0§unemployed§single§secondary§no§1333,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28919§48,0§admin.§single§secondary§no§2091,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28921§43,0§management§married§tertiary§no§228,0§yes§no§cellular§2§feb§1,0§-1,0§0§unknown§
28926§36,0§technician§single§secondary§no§265,0§yes§yes§cellular§2§feb§1,0§273,0§1§failure§
28930§44,0§blue-collar§married§secondary§no§294,0§yes§no§cellular§2§feb§1,0§259,0§2§failure§
28935§37,0§management§divorced§tertiary§no§88,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28940§46,0§technician§married§secondary§no§363,0§yes§no§cellular§2§feb§1,0§180,0§3§failure§
28944§47,0§technician§married§secondary§no§349,0§yes§yes§cellular§2§feb§1,0§273,0§1§failure§
28950§59,0§retired§divorced§tertiary§no§979,0§yes§no§cellular§2§feb§1,0§-1,0§0§unknown§
28954§22,0§student§single§secondary§no§2162,0§no§no§telephone§2§feb§1,0§-1,0§0§unknown§
28956§34,0§management§married§tertiary§no§0,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28958§§technician§married§secondary§no§20,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28959§22,0§student§single§secondary§no§148,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28961§§services§married§secondary§no§1555,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28965§53,0§management§married§secondary§no§-264,0§no§yes§cellular§2§feb§1,0§-1,0§0§unknown§
28970§29,0§technician§single§tertiary§no§2325,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28971§37,0§services§single§secondary§no§21,0§yes§no§cellular§2§feb§1,0§271,0§2§other§
28974§38,0§blue-collar§married§secondary§no§757,0§yes§no§cellular§2§feb§1,0§272,0§1§failure§
28976§§services§divorced§secondary§no§218,0§yes§no§cellular§2§feb§2,0§249,0§2§failure§
28980§55,0§housemaid§married§secondary§no§5,0§no§no§cellular§2§feb§1,0§206,0§2§failure§
28981§36,0§admin.§married§secondary§no§-206,0§yes§no§cellular§2§feb§1,0§-1,0§0§unknown§
28982§50,0§unemployed§divorced§unknown§no§1088,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28983§§admin.§married§secondary§no§1097,0§yes§yes§cellular§2§feb§1,0§208,0§1§failure§
28984§39,0§blue-collar§married§unknown§no§0,0§no§no§cellular§2§feb§1,0§193,0§3§failure§
28989§36,0§blue-collar§single§primary§no§367,0§no§no§cellular§2§feb§1,0§221,0§1§failure§
28991§28,0§admin.§single§secondary§no§53,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
28992§39,0§services§single§tertiary§no§1222,0§yes§no§cellular§2§feb§1,0§242,0§2§failure§
29000§§management§married§tertiary§no§1852,0§no§no§cellular§2§feb§2,0§-1,0§0§unknown§
29003§43,0§technician§married§secondary§no§576,0§no§no§cellular§2§feb§1,0§-1,0§0§unknown§
29005§49,0§self-employed§married§secondary§no§289,0§yes§no§cellular§2§feb§1,0§-1,0§0§unknown§
29006§47,0§admin.§divorced§secondary§no§207,0§yes§no§cellular§2§feb§1,0§271,0§4§failure§
